_index,_id,_score,_source.assetResourceId,_source.assetId,_source.parentId,_source.filename,_source.assetTypeName,_source.productEan,_source.projectNumber,_source.pimProjectNumber,_source.productName,_source.projectName,_source.productSku,_source.assetResourceCreationDate,_source.assetResourceFileCreateDate,_source.assetResourceFileModifyDate,_source.assetCreationDate,_source.customer,_source.creation_date,_source.file_create_date,_source.file_modify_date,_source.organization_id,_source.asset_resource_name,_source.asset_type_name,_source.file_name,_source.file_name_text,_source.upload_name,_source.pdf_text,_source.file_size,_source.asset_creation_date,_source.epsonmaterial,_source.gmgflow,_source.shape,_source.shapes,_source.software,_source.substrate_material,_source.keylinenumber,_source.angle,_source.packshottype,_source.printer_code,_source.printingmaterial,_source.printing_process,_source.printingprocess,_source.printing_workflow,_source.materials,_source.packtype,_source.shapecode,_source.shapecode_text,_source.packaging,_source.packrange,_source.packshotquality,_source.producttype,_source.volumes,_source.product_category_brand,_source.product_category_campaign,_source.product_category_market,_source.product_category_segment,_source.product_category_platform,_source.product_category_brand_text,_source.product_category_campaign_text,_source.product_category_market_text,_source.product_category_segment_text,_source.product_category_platform_text,_source.grammage,_source.net_content_statement,_source.net_contents_ml,_source.net_contents_g,_source.net_contents_pcs,_source.net_unit_contents_ml,_source.net_unit_contents_g,_source.product_ean,_source.product_name,_source.product_sku,_source.product_ean_text,_source.product_name_text,_source.product_sku_text,_source.froq_project_owner,_source.froq_project_owner_text,_source.project_owner_text,_source.project_owner,_source.project_froq_name,_source.project_froq_name_text,_source.project_froq_project_number,_source.project_froq_project_number_text,_source.project_name,_source.project_name_text,_source.project_pim_project_number,_source.project_pim_project_number_text,_source.tags,_source.height,_source.width
asset-resource-item_2025-10-17-152242,9079,1.0,9079,3872,9078,1187430_284_20517_8718907886871_Soep_Minestrone_950g_FL_Warp.pdf,Final Artwork LR PDF,8718907886871,1187430,,AH Soep Minestrone,284_20517_Belgie_Convenience_Soep_NPD,284.97245,13-11-2023,01-01-1970,01-01-1970,13-11-2023,Albert Heijn,1699890982,0,0,43,1187430_284_20517_8718907886871_Soep_Minestrone_950g_FL_Warp.pdf,Final Artwork LR PDF,1187430_284_20517_8718907886871_Soep_Minestrone_950g_FL_Warp.pdf,1187430_284_20517_8718907886871_Soep_Minestrone_950g_FL_Warp.pdf,,,0,1699890983,PAPER,Flexo_13_general_OC,,,ADOBE CC 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718907886871,AH Soep Minestrone,284.97245,8718907886871,AH Soep Minestrone,284.97245,,,f,f,284_20517_Belgie_Convenience_Soep_NPD,284_20517_Belgie_Convenience_Soep_NPD,1187430,1187430,284_20517_Belgie_Convenience_Soep_NPD,284_20517_Belgie_Convenience_Soep_NPD,,,,,
asset-resource-item_2025-10-17-152242,9108,1.0,9108,3903,9107,1187349_284_20545_8718907086912_Knackebrod_Vezelrijk_BOX.pdf,Final Artwork LR PDF,8718907086912,1187349,,Knackebrod Volkoren met tarwebloem,284_20545_Broodvervangers_Volkoren,284.59492,14-11-2023,01-01-1970,01-01-1970,14-11-2023,Albert Heijn,1699956622,0,0,43,1187349_284_20545_8718907086912_Knackebrod_Vezelrijk_BOX.pdf,Final Artwork LR PDF,1187349_284_20545_8718907086912_Knackebrod_Vezelrijk_BOX.pdf,1187349_284_20545_8718907086912_Knackebrod_Vezelrijk_BOX.pdf,,,0,1699956623,PAPER,Offset_standard,,,ADOBE CC 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718907086912,Knackebrod Volkoren met tarwebloem,284.59492,8718907086912,Knackebrod Volkoren met tarwebloem,284.59492,,,f,f,284_20545_Broodvervangers_Volkoren,284_20545_Broodvervangers_Volkoren,1187349,1187349,284_20545_Broodvervangers_Volkoren,284_20545_Broodvervangers_Volkoren,,,,,
asset-resource-item_2025-10-17-152242,9125,1.0,9125,3920,9124,1187485_284_20784_8718907940870_Crompouce_SL.pdf,Final Artwork LR PDF,8718907940870,1187485,,AHCOR Crompouce 2pcs 3DTRY 2D1 STD G,1187485,8718907940870,14-11-2023,01-01-1970,01-01-1970,14-11-2023,Albert Heijn,1699962622,0,0,43,1187485_284_20784_8718907940870_Crompouce_SL.pdf,Final Artwork LR PDF,1187485_284_20784_8718907940870_Crompouce_SL.pdf,1187485_284_20784_8718907940870_Crompouce_SL.pdf,,,0,1699962622,PAPER,Flexo_16_General_OC,,,ADOBE CC 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718907940870,AHCOR Crompouce 2pcs 3DTRY 2D1 STD G,8718907940870,8718907940870,AHCOR Crompouce 2pcs 3DTRY 2D1 STD G,8718907940870,,,f,f,1187485,1187485,1187485,1187485,1187485,1187485,,,,,
asset-resource-item_2025-10-17-152242,9127,1.0,9127,3923,9126,1187546_284_20521_8718906173842_Zakje_Blauwe_Bessen_BAG.pdf,Final Artwork LR PDF,8718906173842,1187546,,AH Zakje met blauwe bessen,284_20521_Diepvries_Fruit_Leverancierswissel,284.97303,14-11-2023,01-01-1970,01-01-1970,14-11-2023,Albert Heijn,1699965865,0,0,43,1187546_284_20521_8718906173842_Zakje_Blauwe_Bessen_BAG.pdf,Final Artwork LR PDF,1187546_284_20521_8718906173842_Zakje_Blauwe_Bessen_BAG.pdf,1187546_284_20521_8718906173842_Zakje_Blauwe_Bessen_BAG.pdf,,,0,1699965866,PAPER,Flexo_16_general_OC,,,ADOBE CC 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718906173842,AH Zakje met blauwe bessen,284.97303,8718906173842,AH Zakje met blauwe bessen,284.97303,,,f,f,284_20521_Diepvries_Fruit_Leverancierswissel,284_20521_Diepvries_Fruit_Leverancierswissel,1187546,1187546,284_20521_Diepvries_Fruit_Leverancierswissel,284_20521_Diepvries_Fruit_Leverancierswissel,,,,,
asset-resource-item_2025-10-17-152242,9138,1.0,9138,3932,9137,1187383_284_20522_8718907720656_BIO_Pompoen_Stukjes_BAG.pdf,Final Artwork LR PDF,8718907720656,1187383,,AH Bio Pompoen stukjes,284_20522_Groente_Bio_Pompoen_Levwis,284.97257,14-11-2023,01-01-1970,01-01-1970,14-11-2023,Albert Heijn,1699977337,0,0,43,1187383_284_20522_8718907720656_BIO_Pompoen_Stukjes_BAG.pdf,Final Artwork LR PDF,1187383_284_20522_8718907720656_BIO_Pompoen_Stukjes_BAG.pdf,1187383_284_20522_8718907720656_BIO_Pompoen_Stukjes_BAG.pdf,,,0,1699977337,PAPER,Flexo_210_general_OC,,,ADOBE CC 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718907720656,AH Bio Pompoen stukjes,284.97257,8718907720656,AH Bio Pompoen stukjes,284.97257,,,f,f,284_20522_Groente_Bio_Pompoen_Levwis,284_20522_Groente_Bio_Pompoen_Levwis,1187383,1187383,284_20522_Groente_Bio_Pompoen_Levwis,284_20522_Groente_Bio_Pompoen_Levwis,,,,,
asset-resource-item_2025-10-17-152242,9182,1.0,9182,3982,9181,14600002_8719281062042_Keune_Style_Brilliant_Gloss_200ml_TN.pdf,Final Artwork LR PDF,8719281062042,14600002,,Keune Style Brilliant Gloss 200ml,Keune_Style_Aerosols,8719281062042,15-11-2023,01-01-1970,01-01-1970,15-11-2023,Keune Haircosmetics,1700017776,0,0,6883,14600002_8719281062042_Keune_Style_Brilliant_Gloss_200ml_TN.pdf,Final Artwork LR PDF,14600002_8719281062042_Keune_Style_Brilliant_Gloss_200ml_TN.pdf,14600002_8719281062042_Keune_Style_Brilliant_Gloss_200ml_TN.pdf,,,0,1700017776,PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719281062042,Keune Style Brilliant Gloss 200ml,8719281062042,8719281062042,Keune Style Brilliant Gloss 200ml,8719281062042,,,f,f,Keune_Style_Aerosols,Keune_Style_Aerosols,14600002,14600002,Keune_Style_Aerosols,Keune_Style_Aerosols,,,,,
asset-resource-item_2025-10-17-152242,9205,1.0,9205,4003,9204,14600009_8719281079279_Keune_Style_Ultra_Gel_300ml_LBL.pdf,Final Artwork LR PDF,8719281079279,14600009,,Keune Style Ultra Gel 300ml,Keune_Limited_Edition_Tube_Spray,8719281079279,15-11-2023,01-01-1970,01-01-1970,15-11-2023,Keune Haircosmetics,1700017804,0,0,6883,14600009_8719281079279_Keune_Style_Ultra_Gel_300ml_LBL.pdf,Final Artwork LR PDF,14600009_8719281079279_Keune_Style_Ultra_Gel_300ml_LBL.pdf,14600009_8719281079279_Keune_Style_Ultra_Gel_300ml_LBL.pdf,,,0,1700017805,PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719281079279,Keune Style Ultra Gel 300ml,8719281079279,8719281079279,Keune Style Ultra Gel 300ml,8719281079279,,,f,f,Keune_Limited_Edition_Tube_Spray,Keune_Limited_Edition_Tube_Spray,14600009,14600009,Keune_Limited_Edition_Tube_Spray,Keune_Limited_Edition_Tube_Spray,,,,,
asset-resource-item_2025-10-17-152242,9209,1.0,9209,4006,9208,14600005_8719281040224_Keune_Style_Ultra_Gel_200ml_TU.pdf,Final Artwork LR PDF,8719281040224,14600005,,Keune Style Ultra Gel 200ml,Keune_Tubes_Lageen,8719281040224,15-11-2023,01-01-1970,01-01-1970,15-11-2023,Keune Haircosmetics,1700017809,0,0,6883,14600005_8719281040224_Keune_Style_Ultra_Gel_200ml_TU.pdf,Final Artwork LR PDF,14600005_8719281040224_Keune_Style_Ultra_Gel_200ml_TU.pdf,14600005_8719281040224_Keune_Style_Ultra_Gel_200ml_TU.pdf,,,0,1700017809,PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719281040224,Keune Style Ultra Gel 200ml,8719281040224,8719281040224,Keune Style Ultra Gel 200ml,8719281040224,,,f,f,Keune_Tubes_Lageen,Keune_Tubes_Lageen,14600005,14600005,Keune_Tubes_Lageen,Keune_Tubes_Lageen,,,,,
asset-resource-item_2025-10-17-152242,9215,1.0,9215,3979,9214,14600001_8719281079262_Keune_Style_Strong_Mousse_300ml_TN_1200dpi.pdf,Final Artwork LR PDF,8719281079262,14600001,,Keune Style Strong Mousse 300ml TN 1200dpi option1,Keune_Special_Project_Litho,8719281079262,15-11-2023,01-01-1970,01-01-1970,15-11-2023,Keune Haircosmetics,1700017816,0,0,6883,14600001_8719281079262_Keune_Style_Strong_Mousse_300ml_TN_1200dpi.pdf,Final Artwork LR PDF,14600001_8719281079262_Keune_Style_Strong_Mousse_300ml_TN_1200dpi.pdf,14600001_8719281079262_Keune_Style_Strong_Mousse_300ml_TN_1200dpi.pdf,,,0,1700017583,PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719281079262,Keune Style Strong Mousse 300ml TN 1200dpi option1,8719281079262,8719281079262,Keune Style Strong Mousse 300ml TN 1200dpi option1,8719281079262,,,f,f,Keune_Special_Project_Litho,Keune_Special_Project_Litho,14600001,14600001,Keune_Special_Project_Litho,Keune_Special_Project_Litho,,,,,
asset-resource-item_2025-10-17-152242,9217,1.0,9217,4014,9216,14600001_8719281079262_Keune_Style_Strong_Mousse_300ml_TN_1200dpi_option2.pdf,Final Artwork LR PDF,8719281079262,14600001,,Keune Style Strong Mousse 300ml TN 1200dpi option1,Keune_Special_Project_Litho,8719281079262,15-11-2023,01-01-1970,01-01-1970,15-11-2023,Keune Haircosmetics,1700017819,0,0,6883,14600001_8719281079262_Keune_Style_Strong_Mousse_300ml_TN_1200dpi_option2.pdf,Final Artwork LR PDF,14600001_8719281079262_Keune_Style_Strong_Mousse_300ml_TN_1200dpi_option2.pdf,14600001_8719281079262_Keune_Style_Strong_Mousse_300ml_TN_1200dpi_option2.pdf,,,0,1700017819,PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719281079262,Keune Style Strong Mousse 300ml TN 1200dpi option1,8719281079262,8719281079262,Keune Style Strong Mousse 300ml TN 1200dpi option1,8719281079262,,,f,f,Keune_Special_Project_Litho,Keune_Special_Project_Litho,14600001,14600001,Keune_Special_Project_Litho,Keune_Special_Project_Litho,,,,,
